data;indice;valor
2012-01-02;ICON;1699.00
2012-01-02;IFNC;3476.58
2012-01-02;IMAT;1618.42
2012-01-02;IMOB;778.26
2012-01-02;INDX;9685.71
2012-01-02;UTIL;2914.34
2012-01-03;ICON;1711.00
2012-01-03;IFNC;3538.07
2012-01-03;IMAT;1677.04
2012-01-03;IMOB;798.11
2012-01-03;INDX;9862.99
2012-01-03;UTIL;2893.24
2012-01-04;ICON;1701.00
2012-01-04;IFNC;3543.92
2012-01-04;IMAT;1676.95
2012-01-04;IMOB;793.88
2012-01-04;INDX;9810.21
2012-01-04;UTIL;2950.20
2012-01-05;ICON;1695.00
2012-01-05;IFNC;3507.10
2012-01-05;IMAT;1662.98
2012-01-05;IMOB;772.86
2012-01-05;INDX;9756.29
2012-01-05;UTIL;2946.21
2012-01-06;ICON;1702.00
2012-01-06;IFNC;3510.80
2012-01-06;IMAT;1664.26
2012-01-06;IMOB;772.62
2012-01-06;INDX;9793.90
2012-01-06;UTIL;2950.95
2012-01-09;ICON;1700.00
2012-01-09;IFNC;3534.17
2012-01-09;IMAT;1671.01
2012-01-09;IMOB;777.33
2012-01-09;INDX;9795.32
2012-01-09;UTIL;2967.54
2012-01-10;ICON;1701.00
2012-01-10;IFNC;3573.51
2012-01-10;IMAT;1706.38
2012-01-10;IMOB;791.62
2012-01-10;INDX;9865.77
2012-01-10;UTIL;2932.84
2012-01-11;ICON;1698.00
2012-01-11;IFNC;3579.91
2012-01-11;IMAT;1718.04
2012-01-11;IMOB;789.04
2012-01-11;INDX;9895.89
2012-01-11;UTIL;2920.29
2012-01-12;ICON;1697.00
2012-01-12;IFNC;3576.53
2012-01-12;IMAT;1722.05
2012-01-12;IMOB;791.02
2012-01-12;INDX;9899.64
2012-01-12;UTIL;2925.84
2012-01-13;ICON;1691.00
2012-01-13;IFNC;3557.50
2012-01-13;IMAT;1696.55
2012-01-13;IMOB;772.66
2012-01-13;INDX;9790.52
2012-01-13;UTIL;2924.02
2012-01-16;ICON;1707.00
2012-01-16;IFNC;3585.07
2012-01-16;IMAT;1719.61
2012-01-16;IMOB;786.08
2012-01-16;INDX;9889.58
2012-01-16;UTIL;2927.44
2012-01-17;ICON;1717.00
2012-01-17;IFNC;3596.50
2012-01-17;IMAT;1747.11
2012-01-17;IMOB;790.76
2012-01-17;INDX;9961.89
2012-01-17;UTIL;2914.75
2012-01-18;ICON;1741.00
2012-01-18;IFNC;3677.25
2012-01-18;IMAT;1771.35
2012-01-18;IMOB;798.03
2012-01-18;INDX;10081.40
2012-01-18;UTIL;2939.89
2012-01-19;ICON;1755.00
2012-01-19;IFNC;3696.95
2012-01-19;IMAT;1770.22
2012-01-19;IMOB;814.26
2012-01-19;INDX;10140.42
2012-01-19;UTIL;2927.65
2012-01-20;ICON;1761.00
2012-01-20;IFNC;3714.17
2012-01-20;IMAT;1797.54
2012-01-20;IMOB;826.87
2012-01-20;INDX;10221.79
2012-01-20;UTIL;2940.40
2012-01-23;ICON;1749.00
2012-01-23;IFNC;3689.68
2012-01-23;IMAT;1798.22
2012-01-23;IMOB;829.82
2012-01-23;INDX;10178.76
2012-01-23;UTIL;2908.36
2012-01-24;ICON;1757.00
2012-01-24;IFNC;3667.96
2012-01-24;IMAT;1800.05
2012-01-24;IMOB;827.36
2012-01-24;INDX;10169.85
2012-01-24;UTIL;2916.06
2012-01-26;ICON;1771.00
2012-01-26;IFNC;3713.91
2012-01-26;IMAT;1811.26
2012-01-26;IMOB;849.83
2012-01-26;INDX;10289.78
2012-01-26;UTIL;2931.21
2012-01-27;ICON;1758.00
2012-01-27;IFNC;3727.95
2012-01-27;IMAT;1816.63
2012-01-27;IMOB;850.88
2012-01-27;INDX;10238.97
2012-01-27;UTIL;2926.21
2012-01-30;ICON;1760.00
2012-01-30;IFNC;3706.96
2012-01-30;IMAT;1809.96
2012-01-30;IMOB;842.59
2012-01-30;INDX;10214.87
2012-01-30;UTIL;2954.02
2012-01-31;ICON;1773.00
2012-01-31;IFNC;3672.12
2012-01-31;IMAT;1823.81
2012-01-31;IMOB;837.67
2012-01-31;INDX;10234.93
2012-01-31;UTIL;2987.73
2012-02-01;ICON;1814.00
2012-02-01;IFNC;3725.86
2012-02-01;IMAT;1865.87
2012-02-01;IMOB;866.77
2012-02-01;INDX;10508.21
2012-02-01;UTIL;2979.97
2012-02-02;ICON;1805.00
2012-02-02;IFNC;3753.19
2012-02-02;IMAT;1862.73
2012-02-02;IMOB;884.89
2012-02-02;INDX;10482.33
2012-02-02;UTIL;2969.71
2012-02-03;ICON;1821.00
2012-02-03;IFNC;3787.74
2012-02-03;IMAT;1900.51
2012-02-03;IMOB;896.48
2012-02-03;INDX;10617.42
2012-02-03;UTIL;2967.83
2012-02-06;ICON;1809.00
2012-02-06;IFNC;3785.75
2012-02-06;IMAT;1895.71
2012-02-06;IMOB;896.54
2012-02-06;INDX;10579.83
2012-02-06;UTIL;2969.77
2012-02-07;ICON;1815.00
2012-02-07;IFNC;3829.70
2012-02-07;IMAT;1911.21
2012-02-07;IMOB;891.80
2012-02-07;INDX;10635.68
2012-02-07;UTIL;3005.79
2012-02-08;ICON;1803.00
2012-02-08;IFNC;3875.56
2012-02-08;IMAT;1902.44
2012-02-08;IMOB;895.37
2012-02-08;INDX;10589.55
2012-02-08;UTIL;3023.67
2012-02-09;ICON;1807.00
2012-02-09;IFNC;3845.11
2012-02-09;IMAT;1902.01
2012-02-09;IMOB;879.15
2012-02-09;INDX;10567.10
2012-02-09;UTIL;3045.78
2012-02-10;ICON;1811.00
2012-02-10;IFNC;3779.73
2012-02-10;IMAT;1846.74
2012-02-10;IMOB;869.77
2012-02-10;INDX;10458.68
2012-02-10;UTIL;3076.14
2012-02-13;ICON;1834.00
2012-02-13;IFNC;3861.59
2012-02-13;IMAT;1880.80
2012-02-13;IMOB;893.88
2012-02-13;INDX;10675.27
2012-02-13;UTIL;3097.57
2012-02-14;ICON;1823.00
2012-02-14;IFNC;3864.36
2012-02-14;IMAT;1845.35
2012-02-14;IMOB;900.44
2012-02-14;INDX;10576.98
2012-02-14;UTIL;3094.50
2012-02-15;ICON;1850.00
2012-02-15;IFNC;3845.91
2012-02-15;IMAT;1835.11
2012-02-15;IMOB;924.01
2012-02-15;INDX;10686.45
2012-02-15;UTIL;3140.14
2012-02-16;ICON;1868.00
2012-02-16;IFNC;3870.84
2012-02-16;IMAT;1848.86
2012-02-16;IMOB;940.31
2012-02-16;INDX;10802.30
2012-02-16;UTIL;3155.87
2012-02-17;ICON;1889.00
2012-02-17;IFNC;3861.76
2012-02-17;IMAT;1862.39
2012-02-17;IMOB;941.29
2012-02-17;INDX;10874.08
2012-02-17;UTIL;3178.05
2012-02-22;ICON;1889.00
2012-02-22;IFNC;3859.52
2012-02-22;IMAT;1865.27
2012-02-22;IMOB;934.12
2012-02-22;INDX;10853.21
2012-02-22;UTIL;3185.53
2012-02-23;ICON;1876.00
2012-02-23;IFNC;3824.87
2012-02-23;IMAT;1861.27
2012-02-23;IMOB;917.39
2012-02-23;INDX;10764.32
2012-02-23;UTIL;3162.95
2012-02-24;ICON;1886.00
2012-02-24;IFNC;3822.23
2012-02-24;IMAT;1867.39
2012-02-24;IMOB;904.26
2012-02-24;INDX;10787.45
2012-02-24;UTIL;3184.04
2012-02-27;ICON;1889.00
2012-02-27;IFNC;3798.92
2012-02-27;IMAT;1844.89
2012-02-27;IMOB;893.53
2012-02-27;INDX;10746.52
2012-02-27;UTIL;3167.08
2012-02-28;ICON;1901.00
2012-02-28;IFNC;3876.40
2012-02-28;IMAT;1871.79
2012-02-28;IMOB;911.86
2012-02-28;INDX;10831.18
2012-02-28;UTIL;3194.40
2012-02-29;ICON;1927.00
2012-02-29;IFNC;3883.16
2012-02-29;IMAT;1871.53
2012-02-29;IMOB;903.00
